Year,Age Group,Percentage
1950,Old,23.853576437506973
1951,Old,24.117647394009666
1952,Old,24.29866857495482
1953,Old,24.36925487618321
1954,Old,24.277448013150767
1955,Old,24.19439469286957
1956,Old,24.34720840138958
1957,Old,24.704240628189915
1958,Old,25.186324566157687
1959,Old,25.74115390953124
1960,Old,26.30465151468916
1961,Old,26.93154207905741
1962,Old,27.692767441912995
1963,Old,28.626575469291076
1964,Old,29.668830417669973
1965,Old,30.736160617234223
1966,Old,31.80046178007062
1967,Old,32.7725454055924
1968,Old,33.68859800210844
1969,Old,34.676170476031366
1970,Old,35.65895313139443
1971,Old,36.53021839296076
1972,Old,37.2725993761533
1973,Old,37.86576684269912
1974,Old,38.21255962731943
1975,Old,38.27815057794136
1976,Old,38.221279288002414
1977,Old,38.16990283814237
1978,Old,38.12565621072117
1979,Old,38.10317873738759
1980,Old,37.87118842184401
1981,Old,37.26313340840341
1982,Old,36.6056582567573
1983,Old,36.052980061501685
1984,Old,35.960299220142474
1985,Old,36.37278054482275
1986,Old,36.88172960881098
1987,Old,37.471378732552616
1988,Old,38.13698208644977
1989,Old,38.91218352014208
1990,Old,39.8731185097744
1991,Old,40.83368806097593
1992,Old,41.63441862419814
1993,Old,42.37468471619314
1994,Old,43.09993768037759
1995,Old,43.8160093642248
1996,Old,44.48685607095722
1997,Old,45.1150656749479
1998,Old,45.7419619136714
1999,Old,46.33274039761692
2000,Old,46.95384333289672
2001,Old,47.63665171981537
2002,Old,48.24288668115425
2003,Old,48.77143803584036
2004,Old,49.32704075570999
2005,Old,49.93310825856797
2006,Old,50.55338948726291
2007,Old,51.1747626742297
2008,Old,51.75728462651521
2009,Old,52.33245149083263
2010,Old,52.87127658973787
2011,Old,53.40813629458271
2012,Old,53.98660342861698
2013,Old,54.5198488620867
2014,Old,55.0016194203959
2015,Old,55.46656789042056
2016,Old,55.9500060886821
2017,Old,56.36191550088896
2018,Old,56.79673087409808
2019,Old,57.38939625369117
2020,Old,57.97379766841981
2021,Old,58.337598090103256
2022,Old,58.60067738914757
2023,Old,58.9550965577856
1950,Young,76.14642356249303
1951,Young,75.88235260599033
1952,Young,75.70133142504518
1953,Young,75.6307451238168
1954,Young,75.72255198684923
1955,Young,75.80560530713043
1956,Young,75.6527915986104
1957,Young,75.29575937181008
1958,Young,74.81367543384232
1959,Young,74.25884609046877
1960,Young,73.69534848531084
1961,Young,73.06845792094258
1962,Young,72.30723255808701
1963,Young,71.37342453070893
1964,Young,70.33116958233003
1965,Young,69.26383938276577
1966,Young,68.19953821992938
1967,Young,67.22745459440759
1968,Young,66.31140199789156
1969,Young,65.32382952396863
1970,Young,64.34104686860556
1971,Young,63.46978160703924
1972,Young,62.72740062384671
1973,Young,62.13423315730088
1974,Young,61.78744037268056
1975,Young,61.72184942205864
1976,Young,61.77872071199759
1977,Young,61.83009716185765
1978,Young,61.874343789278825
1979,Young,61.89682126261241
1980,Young,62.128811578156
1981,Young,62.73686659159659
1982,Young,63.39434174324269
1983,Young,63.94701993849832
1984,Young,64.03970077985753
1985,Young,63.62721945517725
1986,Young,63.11827039118902
1987,Young,62.52862126744738
1988,Young,61.86301791355022
1989,Young,61.08781647985791
1990,Young,60.1268814902256
1991,Young,59.16631193902408
1992,Young,58.36558137580186
1993,Young,57.62531528380686
1994,Young,56.900062319622414
1995,Young,56.1839906357752
1996,Young,55.51314392904278
1997,Young,54.8849343250521
1998,Young,54.25803808632861
1999,Young,53.66725960238308
2000,Young,53.04615666710328
2001,Young,52.36334828018463
2002,Young,51.75711331884574
2003,Young,51.22856196415963
2004,Young,50.67295924429003
2005,Young,50.066891741432045
2006,Young,49.446610512737095
2007,Young,48.8252373257703
2008,Young,48.24271537348479
2009,Young,47.667548509167375
2010,Young,47.12872341026214
2011,Young,46.59186370541728
2012,Young,46.01339657138301
2013,Young,45.48015113791331
2014,Young,44.998380579604095
2015,Young,44.53343210957944
2016,Young,44.04999391131789
2017,Young,43.63808449911104
2018,Young,43.203269125901926
2019,Young,42.61060374630883
2020,Young,42.026202331580194
2021,Young,41.66240190989676
2022,Young,41.39932261085244
2023,Young,41.04490344221441
